Aircraft;Year;Seats;Sector;Fuel burn;Fuel eff/seat
Comuter flights : 
Antonov An-148;2004;89;446.3;4.23;5.95
Antonov An-158;2010;99;446.3;4.34;5.47
Aerospatiale/Alenia ATR 42-500;1995;48;560;1.26;3.15 
Aerospatiale/Alenia ATR 72;1997;72;560;1.67;2.89 
Beechcraft 1900;1982;19;418.5;1.00;6.57
Canadair Regional Jet 200;1995;50;560;2.18;5.43
Canadair Regional Jet 700;1999;70;560;2.95;5.25
Canadair Regional Jet 900;2001;88;560;3.47;4.91
De Havilland Canada DHC-8-400 Dash 8Q;1998;78;560;2.16;3.46
Embraer EMB 120 Brasilia;1983;30;560;0.92;3.82
Embraer RJ135;1998;37;572.2;1.64;5.52
Embraer RJ145;1995;50;564.8;1.76;4.37
Saab SF340A/B;1983;32;560;1.1;4.29
Saab 2000;1992;50;560;1.75;4.39

Regional flights :
Antonov An-148;2004;89;1267;2.89;4.06
Antonov An-158;2010;99;1267;379
Aerospatiale/Alenia ATR 42-600;2010;50;930;1.30;3.27 
Aerospatiale/Alenia ATR 72;2010;72;930;1.4146 
Boeing 737-300;1984;126;939;3.49;3.46 
Boeing 737-600;1998;110;930;3.16;3.59
Boeing 737-700;1997;126;930;3.21;3.19 
Boeing 737-800;1997;162;930;3.59;2.77 
Boeing 757-200;1982;200;930;4.68;2.91
Boeing 757-300;1998;243;930;5.19;2.66
Canadair Regional Jet 200;1995;50;1070;1.80;4.49
Canadair Regional Jet 7001999;70;1063;2.45;4.36 
Canadair Regional Jet 900;2001;88;1061;2.78;3.94
Canadair Regional Jet 1000;2009;100;930;2.66;3.33 
De Havilland Canada DHC-8-400 Dash 8Q;1998;74;930;2.31;3.9 
De Havilland Canada DHC-8-400 Dash 8Q;1998;74;1100;1.83;3.09 
Embraer 170;2002;80;1122;2.6;4.08
Embraer 175;2005;88;1120;2.80;3.97
Embraer 190;2004;114;1124;3.24;3.54
Embraer 195;2004;122;1124;3.21;3.28
Embraer RJ135;1998;37;1104;1.44;4.86
Embraer RJ145;1996;50;1107;1.55;3.86 
Saab SF340A/B;1983;31;930;0.95;3.83
Saab 2000;1992;50;930;1.54;3.85
Sukhoi Superjet 100-95;2008;98;930;2.81;3.59

Short-haul flights :
Airbus A319;1995;124;1900;2.93;2.95 
Airbus A320;1987;150;1900;3.13;2.61 
Airbus A321;1996;180;1900;3.61;2.50 
Airbus A330-200;1997;293;1900;5.6;2.37 
Antonov An-148;2004;89;2204;2.75;3.86
Antonov An-158;2010;99;2204;2.83;3.57
Boeing 737-600;1998;110;1900;2.77;3.15 
Boeing 737-700;1997;128;1900;2.8;2.71 
Boeing 737-800;1997;160;1900;3.45;2.68 
Boeing 757-200;1982;190;1900;4.60;3.02 
Boeing 757-300;1998;243;1900;4.68;2.40 
Boeing 787-8;2009;248;1900;5.50;2.77 

Medium-haul flights :
Airbus A320;1987;150;3984;2.91;2.43 
Airbus A330-200;1997;241;5600;611 
Airbus A330-300;1992;262;5600;6.25;2.98 
Airbus A340-300;1992;262;5600;6.81;3.25 
Airbus A380;2005;544;3700;13.6;3.14 
Boeing 747-400;1988;416;3984;10.77;3.24 
Boeing 757-200;1981;158;6300;3.79;3.00 
Boeing 767-200;1984;193;6300;5.01;3.25 
Boeing 767-300;1988;269;5600;5.51;2.56 
Boeing 767-400;1999;304;6047;5.9243
Boeing 777-200;1994;305;5600;6.83;2.80 
Boeing 777-200ER;1996;301;5600;6.96;2.89 
Boeing 777-300;1997;368;5600;7.88;2.68 
Boeing 787-8;2009;291;6300;5.26;2.26 

Long-haul flights : 

Airbus A330-200;1997;248;10277;6.55;3.3 
Airbus A330-300;1992;274;10275;6.81;3.11 
Airbus A340-300;1992;262;11000;7.32;3.49
Airbus A380;2005;544;11000;13.78;3.16 
Boeing 747-400;1988;416;11000;11.11;3.34 
Boeing 777-200;1996;304;10251;7.57;3.11 
Boeing 777-200LR;2005;291;9208;7.57;3.25 
Boeing 777-300ER;2003;365;11000;8.49;2.91 
Boeing 787-8;2011;243;8610;5.38;2.77 

